Track,Year,Percentuale_acceleratore_premuto,Numero_cambi_marcia,Numero_frenate,Percentuale_freno,Percentuale_acc_parzializzato
Saudi Arabian Grand Prix,2023,0.6276445698166432,5.896359808835246,1.3103021797411658,0.14245416078984485,0.17207334273624825
Saudi Arabian Grand Prix,2023,0.6361031518624641,6.071523448638834,1.640952283415901,0.1361031518624642,0.14469914040114612
Saudi Arabian Grand Prix,2023,0.6331034482758621,6.063841761064421,1.3111009213112264,0.1310344827586207,0.15862068965517243
Saudi Arabian Grand Prix,2023,0.6308345120226309,5.735307938177008,1.474793469816945,0.13861386138613863,0.16831683168316833
Saudi Arabian Grand Prix,2023,0.6342857142857142,7.055729411604837,1.8049540355268188,0.1657142857142857,0.13142857142857142
Saudi Arabian Grand Prix,2023,0.6510638297872341,6.4217536323846645,1.9759241945798969,0.19290780141843972,0.14184397163120568
Saudi Arabian Grand Prix,2023,0.6347469220246238,6.580491080587206,1.316098216117441,0.13953488372093023,0.15321477428180574
Saudi Arabian Grand Prix,2023,0.6398362892223738,7.107378993820304,1.9834546029265965,0.19508867667121418,0.1364256480218281
Saudi Arabian Grand Prix,2023,0.6427566807313643,6.420252053553477,1.48159662774311,0.13642756680731363,0.16736990154711673
Saudi Arabian Grand Prix,2023,0.5795297372060858,6.2382704175399235,1.3133200879031417,0.16044260027662519,0.14661134163208853
Saudi Arabian Grand Prix,2023,0.579020979020979,6.566174893507044,1.3132349787014088,0.15524475524475526,0.13986013986013987
Saudi Arabian Grand Prix,2023,0.5967078189300411,6.729407838271057,1.313055187955328,0.13580246913580246,0.1467764060356653
Saudi Arabian Grand Prix,2023,0.5961538461538461,6.741079715005001,1.315332627318049,0.1565934065934066,0.14423076923076922
Saudi Arabian Grand Prix,2023,0.596045197740113,7.067911957611791,1.3149603642068448,0.13983050847457626,0.14689265536723164
Saudi Arabian Grand Prix,2023,0.6304347826086957,5.725067261619634,1.3085868026559162,0.13858695652173914,0.12364130434782608
Saudi Arabian Grand Prix,2023,0.6372549019607843,4.903415056134397,1.307577348302506,0.1400560224089636,0.13165266106442577
Saudi Arabian Grand Prix,2023,0.6485355648535565,4.906498442745138,1.3083995847320369,0.13389121338912133,0.1087866108786611
Saudi Arabian Grand Prix,2023,0.6344827586206897,5.557585709733609,1.3076672258196727,0.13517241379310344,0.12827586206896552
Saudi Arabian Grand Prix,2023,0.6321022727272727,5.5575382039016255,1.307656047976853,0.13068181818181818,0.10653409090909091
Saudi Arabian Grand Prix,2023,0.6569037656903766,6.218576588090816,1.3091740185454348,0.12412831241283125,0.10320781032078104
Saudi Arabian Grand Prix,2023,0.6388508891928865,6.221761248576719,1.8010361509037873,0.12448700410396717,0.11354309165526676
Saudi Arabian Grand Prix,2023,0.6358695652173914,6.2262874203177985,1.4746470206015838,0.11277173913043478,0.08559782608695653
Saudi Arabian Grand Prix,2023,0.6178977272727273,6.0680890220969,1.8040264660288081,0.13352272727272727,0.11789772727272728
Saudi Arabian Grand Prix,2023,0.6097902097902098,6.055133865357375,1.636522666312804,0.13426573426573427,0.11048951048951049
Saudi Arabian Grand Prix,2023,0.6320109439124487,5.725534704946406,0.9815202351336696,0.10259917920656635,0.07250341997264022
Saudi Arabian Grand Prix,2023,0.6357243319268636,5.720266085176072,1.1440532170352145,0.12236286919831224,0.0759493670886076
Saudi Arabian Grand Prix,2023,0.650904033379694,6.383910821307628,0.9821401263550197,0.10570236439499305,0.06536856745479833
Saudi Arabian Grand Prix,2023,0.6396648044692738,5.720841805879031,0.980715738150691,0.11033519553072625,0.06983240223463687
Saudi Arabian Grand Prix,2023,0.6286107290233838,6.071016648440244,1.1485707172724786,0.10453920220082531,0.08390646492434663
Saudi Arabian Grand Prix,2023,0.5242047026279392,6.582320719380627,1.6455801798451568,0.1991701244813278,0.15767634854771784
Saudi Arabian Grand Prix,2023,0.5468531468531469,6.404469894270435,1.64217176776165,0.1986013986013986,0.13426573426573427
